"category","fraud_count","total_transactions","fraud_rate_pct"
"shopping_net","1881","120678","1.56"
"misc_net","1009","78449","1.29"
"grocery_pos","1881","152459","1.23"
"shopping_pos","875","144144","0.61"
"gas_transport","652","162800","0.40"
"travel","140","50279","0.28"
"grocery_net","151","56145","0.27"
"misc_pos","266","99066","0.27"
"entertainment","244","116085","0.21"
"personal_care","242","112825","0.21"
"kids_pets","259","140096","0.18"
"food_dining","175","113309","0.15"
"health_fitness","156","106036","0.15"
"home","220","151923","0.14"
