"state","transaction_count"
"TX","117124"
"NY","103284"
"PA","98801"
"CA","69846"
"OH","57569"
"MI","56890"
"IL","54026"
"FL","52799"
"AL","50758"
"MO","47556"
"MN","39413"
"AR","38533"
"NC","37565"
"VA","36137"
"SC","36130"
"WI","36115"
"KY","35513"
"IN","34212"
"IA","33501"
"OK","32864"
"MD","32362"
"GA","32319"
"WV","31622"
"NJ","30471"
"NE","29894"
"KS","28549"
"LA","25967"
"MS","25925"
"WY","24090"
"WA","23367"
"OR","22877"
"TN","21491"
"ME","20358"
"NM","20334"
"ND","18481"
"CO","17041"
"MA","15156"
"SD","15134"
"VT","14578"
"MT","14506"
"UT","13360"
"AZ","13309"
"NH","10154"
"CT","9537"
"ID","6999"
"NV","6993"
"DC","4457"
"HI","3129"
"AK","2548"
"RI","641"
"DE","9"
