"state","total_transactions","fraud_count","fraud_rate_pct"
"DE","9","9","100.00"
"RI","641","15","2.34"
"AK","2548","41","1.61"
"OR","22877","163","0.71"
"DC","4457","31","0.70"
"NH","10154","69","0.68"
"NY","103284","658","0.64"
"NE","29894","186","0.62"
"MN","39413","240","0.61"
"VA","36137","221","0.61"
"TN","21491","132","0.61"
"FL","52799","316","0.60"
"KY","35513","208","0.59"
"CT","9537","56","0.59"
"IA","33501","188","0.56"
"ME","20358","114","0.56"
"NV","6993","39","0.56"
"WI","36115","199","0.55"
"NM","20334","109","0.54"
"OH","57569","306","0.53"
"MO","47556","251","0.53"
"OK","32864","170","0.52"
"IL","54026","280","0.52"
"MD","32362","166","0.51"
"SC","36130","186","0.51"
"HI","3129","16","0.51"
"CA","69846","339","0.49"
"IN","34212","166","0.49"
"MS","25925","127","0.49"
"AL","50758","246","0.48"
"MT","14506","69","0.48"
"CO","17041","81","0.48"
"GA","32319","151","0.47"
"MI","56890","270","0.47"
"SD","15134","71","0.47"
"ID","6999","33","0.47"
"PA","98801","459","0.46"
"AR","38533","179","0.46"
"MA","15156","67","0.44"
"NC","37565","164","0.44"
"NJ","30471","130","0.43"
"TX","117124","504","0.43"
"AZ","13309","57","0.43"
"WY","24090","104","0.43"
"WA","23367","99","0.42"
"KS","28549","119","0.42"
"ND","18481","72","0.39"
"LA","25967","97","0.37"
"WV","31622","106","0.34"
"UT","13360","38","0.28"
"VT","14578","34","0.23"
