"merchant","total_transactions","fraud_count"
"fraud_Kilback LLC","5380","53"
"fraud_Rau and Sons","3070","50"
"fraud_Kozey-Boehm","2405","50"
"fraud_Kuhic LLC","2450","49"
"fraud_Boyer PLC","4339","49"
"fraud_Padberg-Welch","2976","48"
"fraud_Romaguera, Cruickshank and Greenholt","2378","47"
"fraud_Mosciski, Ziemann and Farrell","2455","47"
"fraud_Terry-Huel","2474","47"
"fraud_Hudson-Ratke","3088","47"
"fraud_Lemke-Gutmann","2424","46"
"fraud_Kuhn LLC","4348","46"
"fraud_Schultz, Simonis and Little","2928","46"
"fraud_Kiehn-Emmerich","3092","46"
"fraud_Boyer-Reichert","2418","46"
"fraud_Murray-Smitham","3107","45"
"fraud_Koepp-Witting","2915","45"
"fraud_McDermott-Weimann","3018","45"
"fraud_Doyle Ltd","3009","44"
"fraud_Heathcote LLC","2398","43"
"fraud_Huel, Hammes and Witting","3100","43"
"fraud_Schmeler, Bashirian and Price","2403","43"
"fraud_Vandervort-Funk","3024","42"
"fraud_Jast Ltd","2389","42"
"fraud_Gleason-Macejkovic","2508","42"
"fraud_Strosin-Cruickshank","2987","42"
"fraud_Goyette Inc","2429","42"
"fraud_Heathcote, Yost and Kertzmann","2394","42"
"fraud_Cormier LLC","4583","41"
"fraud_Lockman, West and Runte","3166","41"
"fraud_Langworth, Boehm and Gulgowski","2425","41"
"fraud_Cole PLC","3093","41"
"fraud_Price Inc","2460","41"
"fraud_Towne, Greenholt and Koepp","2414","41"
"fraud_Fisher-Schowalter","2443","41"
"fraud_Moen, Reinger and Murphy","2913","41"
"fraud_Bailey-Morar","3052","41"
"fraud_Gottlieb, Considine and Schultz","2393","41"
"fraud_O'Keefe-Hudson","3056","40"
"fraud_Stracke-Lemke","3073","39"
"fraud_Kunze Inc","3068","39"
"fraud_Rempel Inc","2367","39"
"fraud_Kuhic, Bins and Pfeffer","2436","39"
"fraud_Miller-Hauck","3072","39"
"fraud_Bradtke PLC","3050","39"
"fraud_Kerluke-Abshire","2280","39"
"fraud_Streich, Dietrich and Barton","2391","39"
"fraud_Medhurst PLC","2426","38"
"fraud_Labadie, Treutel and Bode","2419","38"
"fraud_Stanton, Jakubowski and Baumbach","2490","38"
"fraud_Greenholt, O'Hara and Balistreri","2386","38"
"fraud_Kiehn Inc","2983","37"
"fraud_Wolf Inc","3046","37"
"fraud_Lockman Ltd","3107","37"
"fraud_Pacocha-O'Reilly","3169","37"
"fraud_Goldner, Kovacek and Abbott","3111","37"
"fraud_DuBuque LLC","3006","37"
"fraud_Osinski, Ledner and Leuschke","3086","37"
"fraud_Mosciski, Gislason and Mertz","3013","37"
"fraud_Schumm, Bauch and Ondricka","3089","36"
"fraud_Kihn, Abernathy and Douglas","2379","36"
"fraud_Gerlach Inc","2362","36"
"fraud_Deckow-O'Conner","3110","36"
"fraud_Mohr-Bayer","2449","35"
"fraud_Schmidt and Sons","2462","35"
"fraud_Bauch-Raynor","3118","35"
"fraud_Kuhic Inc","3023","35"
"fraud_Bashirian Group","2354","35"
"fraud_Auer-Mosciski","2998","35"
"fraud_Barton Inc","3010","35"
"fraud_Stamm-Witting","2359","34"
"fraud_Auer-West","2426","34"
"fraud_Altenwerth, Cartwright and Koss","2356","34"
"fraud_Baumbach, Feeney and Morar","2381","33"
"fraud_Hills-Witting","2461","33"
"fraud_Reichert, Rowe and Mraz","2306","33"
"fraud_Goodwin-Nitzsche","3110","33"
"fraud_Cartwright-Harris","2982","33"
"fraud_Herman, Treutel and Dickens","1596","33"
"fraud_Zboncak, Rowe and Murazik","2510","33"
"fraud_Volkman-Predovic","2412","32"
"fraud_Kassulke PLC","2384","32"
"fraud_Reichert, Huels and Hoppe","2406","32"
"fraud_Hackett-Lueilwitz","3151","32"
"fraud_Schumm PLC","4482","32"
"fraud_Rutherford-Mertz","3024","32"
"fraud_Schamberger-O'Keefe","3048","32"
"fraud_Reichert, Shanahan and Hayes","2474","31"
"fraud_Casper, Hand and Zulauf","3084","31"
"fraud_Heller, Gutmann and Zieme","3032","31"
"fraud_Schoen, Kuphal and Nitzsche","3120","31"
"fraud_Little, Gutmann and Lynch","2459","30"
"fraud_Rowe, Batz and Goodwin","3036","30"
"fraud_Stoltenberg-Beatty","2971","30"
"fraud_Kutch and Sons","3036","30"
"fraud_Koepp-Parker","2996","30"
"fraud_Fisher Inc","2440","29"
"fraud_Heidenreich PLC","2927","28"
"fraud_Miller-Harris","1588","28"
"fraud_Bogisich Inc","3018","28"
"fraud_Ankunding LLC","2447","27"
"fraud_Beier-Hyatt","2936","27"
"fraud_Bednar Group","1614","27"
"fraud_Moore, Dibbert and Koepp","1611","26"
"fraud_Predovic Inc","2413","25"
"fraud_Kovacek, Dibbert and Ondricka","3055","25"
"fraud_Koelpin and Sons","1586","25"
"fraud_Quitzon, Green and Bashirian","2917","25"
"fraud_Durgan-Auer","1603","25"
"fraud_Kris-Weimann","1505","25"
"fraud_Rodriguez, Yost and Jenkins","1563","24"
"fraud_Kerluke, Kertzmann and Wiza","1524","24"
"fraud_Bogisich-Homenick","1550","24"
"fraud_Tillman, Fritsch and Schmitt","1584","24"
"fraud_Volkman Ltd","1538","24"
"fraud_Rohan, White and Aufderhar","1587","24"
"fraud_Conroy Ltd","2828","24"
"fraud_McGlynn-Heathcote","1558","24"
"fraud_Donnelly PLC","1617","24"
"fraud_Mante Group","1535","23"
"fraud_Conroy-Cruickshank","3244","23"
"fraud_Parisian and Sons","3335","23"
"fraud_Rippin, Kub and Mann","1539","23"
"fraud_Baumbach, Hodkiewicz and Walsh","2946","23"
"fraud_Nader-Heller","1512","23"
"fraud_Macejkovic-Lesch","2840","22"
"fraud_Pouros-Haag","2940","22"
"fraud_Sawayn PLC","2916","22"
