"merchant","num_dist_cc"
"fraud_Kilback LLC","858"
"fraud_Kuhn LLC","858"
"fraud_Dickinson Ltd","855"
"fraud_Cormier LLC","853"
"fraud_Boyer PLC","853"
"fraud_Schumm PLC","837"
"fraud_Huel, Hammes and Witting","832"
"fraud_Pacocha-O'Reilly","826"
"fraud_Murray-Smitham","818"
"fraud_Stracke-Lemke","818"
"fraud_Pollich LLC","816"
"fraud_Casper, Hand and Zulauf","815"
"fraud_Cole PLC","812"
"fraud_Bailey-Morar","812"
"fraud_Goodwin-Nitzsche","811"
"fraud_Renner Ltd","811"
"fraud_Crist, Jakubowski and Littel","811"
"fraud_DuBuque LLC","810"
"fraud_Koepp-Witting","810"
"fraud_Kiehn-Emmerich","810"
"fraud_Padberg-Welch","810"
"fraud_Hudson-Ratke","810"
"fraud_Ernser-Feest","810"
"fraud_Lockman, West and Runte","809"
"fraud_Kutch and Sons","809"
"fraud_Rowe, Batz and Goodwin","809"
"fraud_Rau and Sons","809"
"fraud_McDermott, Osinski and Morar","809"
"fraud_O'Reilly, Mohr and Purdy","808"
"fraud_Denesik, Powlowski and Pouros","808"
"fraud_Altenwerth-Kilback","808"
"fraud_Kunze Inc","808"
"fraud_Kovacek, Dibbert and Ondricka","808"
"fraud_Bauch-Raynor","808"
"fraud_Watsica, Haag and Considine","808"
"fraud_Heller, Gutmann and Zieme","808"
"fraud_Wolf Inc","807"
"fraud_White and Sons","807"
"fraud_Wuckert-Goldner","807"
"fraud_Bode-Schuster","806"
"fraud_Schiller, Blanda and Johnson","806"
"fraud_Lynch-Wisozk","806"
"fraud_Kuhic Inc","806"
"fraud_Reilly LLC","805"
"fraud_Gulgowski LLC","805"
"fraud_Metz-Boehm","805"
"fraud_Wuckert, Wintheiser and Friesen","805"
"fraud_Moen, Reinger and Murphy","805"
"fraud_Auer-Mosciski","805"
"fraud_Cartwright-Harris","805"
"fraud_McDermott-Weimann","805"
"fraud_Bradtke PLC","805"
"fraud_Gaylord-Powlowski","804"
"fraud_Schoen Ltd","803"
"fraud_Stark-Koss","803"
"fraud_Champlin-Casper","803"
"fraud_Doyle Ltd","803"
"fraud_O'Connell, Botsford and Hand","803"
"fraud_Bogisich Inc","803"
"fraud_Hettinger, McCullough and Fay","803"
"fraud_Schuppe, Nolan and Hoeger","802"
"fraud_O'Connell-Ullrich","802"
"fraud_Hilpert-Conroy","802"
"fraud_Cole, Hills and Jewess","802"
"fraud_Osinski, Ledner and Leuschke","802"
"fraud_Berge-Ullrich","802"
"fraud_Schultz, Simonis and Little","802"
"fraud_Lowe, Dietrich and Erdman","802"
"fraud_Quitzon-Goyette","802"
"fraud_Mosciski, Gislason and Mertz","801"
"fraud_Connelly-Carter","801"
"fraud_Sawayn PLC","801"
"fraud_Goldner, Kovacek and Abbott","801"
"fraud_Kling, Howe and Schneider","801"
"fraud_Brown Inc","801"
"fraud_Lockman Ltd","800"
"fraud_Gislason Group","800"
"fraud_Schoen, Kuphal and Nitzsche","800"
"fraud_Skiles LLC","800"
"fraud_Yost, Schamberger and Windler","800"
"fraud_Vandervort-Funk","800"
"fraud_Rau-Robel","800"
"fraud_Heidenreich PLC","800"
"fraud_Miller-Hauck","799"
"fraud_Kutch-Wilderman","799"
"fraud_Kris-Padberg","799"
"fraud_Gleason and Sons","799"
"fraud_Terry Ltd","799"
"fraud_Swaniawski, Lowe and Robel","799"
"fraud_Strosin-Cruickshank","799"
"fraud_Goyette-Gerhold","799"
"fraud_Schimmel-Olson","799"
"fraud_Harber Inc","799"
"fraud_Pacocha-Weissnat","799"
"fraud_Schumm, Bauch and Ondricka","799"
"fraud_Deckow-O'Conner","799"
"fraud_Koss, Hansen and Lueilwitz","798"
"fraud_Swift PLC","798"
"fraud_Prosacco, Kreiger and Kovacek","798"
"fraud_Kutch-Ferry","798"
"fraud_Streich Ltd","797"
"fraud_Lynch Ltd","797"
"fraud_Pouros-Haag","797"
"fraud_Conroy Ltd","797"
"fraud_Mayert Group","797"
"fraud_Medhurst Inc","797"
"fraud_Crona and Sons","797"
"fraud_Pacocha-Bauch","797"
"fraud_Koepp-Parker","797"
"fraud_Berge-Hills","797"
"fraud_Bode-Rempel","797"
"fraud_Moore, Williamson and Emmerich","796"
"fraud_Witting, Beer and Ernser","796"
"fraud_Douglas, Schneider and Turner","796"
"fraud_Gerhold LLC","796"
"fraud_Bernier and Sons","796"
"fraud_Bogisich-Weimann","796"
"fraud_Bins, Balistreri and Beatty","795"
"fraud_Metz, Russel and Metz","795"
"fraud_O'Keefe-Hudson","795"
"fraud_Barton LLC","795"
"fraud_Hackett-Lueilwitz","795"
"fraud_Windler, Goodwin and Kovacek","795"
"fraud_Kiehn Inc","794"
"fraud_Sporer Inc","794"
"fraud_Barton Inc","793"
"fraud_Hudson-Grady","793"
"fraud_Beier and Sons","793"
"fraud_Nitzsche, Kessler and Wolff","793"
"fraud_Daugherty LLC","793"
"fraud_Schmidt-Larkin","793"
"fraud_Hammes-Beatty","793"
"fraud_Quitzon, Green and Bashirian","792"
"fraud_Cartwright PLC","792"
"fraud_Ruecker-Mayert","792"
"fraud_Baumbach, Hodkiewicz and Walsh","792"
"fraud_Waelchi Inc","792"
"fraud_Botsford PLC","792"
"fraud_Denesik and Sons","791"
"fraud_Weber, Thiel and Hammes","791"
"fraud_Bahringer, Bergnaum and Quitzon","791"
"fraud_Stoltenberg-Beatty","791"
"fraud_Lang, Towne and Schuppe","791"
"fraud_Fahey Inc","790"
"fraud_Eichmann-Kilback","790"
"fraud_Schaefer Ltd","790"
"fraud_Rutherford-Mertz","790"
"fraud_Pouros, Walker and Spencer","790"
"fraud_Hoppe-Parisian","790"
"fraud_Durgan, Gislason and Spencer","790"
"fraud_Romaguera, Wehner and Tromp","790"
"fraud_Botsford Ltd","790"
"fraud_Kihn Inc","789"
"fraud_Hermann and Sons","789"
"fraud_Collier LLC","789"
"fraud_Kling Inc","789"
"fraud_Dooley Inc","789"
"fraud_Champlin and Sons","789"
"fraud_Botsford and Sons","789"
"fraud_Nolan-Williamson","789"
"fraud_Jewess LLC","789"
"fraud_Mohr Inc","789"
"fraud_Gutmann, McLaughlin and Wiza","789"
"fraud_Windler LLC","789"
"fraud_Huels-Hahn","788"
"fraud_Streich, Rolfson and Wilderman","788"
"fraud_Erdman-Kertzmann","788"
"fraud_Roob, Conn and Tremblay","788"
"fraud_Schaefer, Maggio and Daugherty","788"
"fraud_Ledner-Pfannerstill","788"
"fraud_Padberg-Sauer","788"
"fraud_Jakubowski Inc","788"
"fraud_Olson, Becker and Koch","788"
"fraud_Pfeffer and Sons","788"
"fraud_Schamberger-O'Keefe","788"
"fraud_Barrows PLC","788"
"fraud_Breitenberg-Hermiston","787"
"fraud_Schoen-Quigley","787"
"fraud_Beer-Jast","787"
"fraud_Baumbach, Strosin and Nicolas","787"
"fraud_Rau-Grant","787"
"fraud_Hauck, Dietrich and Funk","787"
"fraud_Weimann, Kuhic and Beahan","787"
"fraud_Bins-Rice","786"
"fraud_Friesen-Stamm","786"
"fraud_Pagac LLC","786"
"fraud_Pouros-Conroy","786"
"fraud_Christiansen, Goyette and Schamberger","785"
"fraud_Gottlieb Group","785"
"fraud_Lubowitz-Walter","785"
"fraud_Emard Inc","785"
"fraud_Weimann-Lockman","785"
"fraud_Greenholt, Jacobi and Gleason","784"
"fraud_Koss and Sons","784"
"fraud_Beier-Hyatt","783"
"fraud_Morissette PLC","783"
"fraud_Willms, Kris and Bergnaum","783"
"fraud_Streich, Hansen and Veum","783"
"fraud_Wilkinson PLC","783"
"fraud_Stroman, Hudson and Erdman","783"
"fraud_Waelchi-Wolf","782"
"fraud_Parisian and Sons","782"
"fraud_Friesen-D'Amore","782"
"fraud_Hickle Group","782"
"fraud_Bahringer, Schoen and Corkery","782"
"fraud_Little Ltd","781"
"fraud_Eichmann, Bogan and Rodriguez","781"
"fraud_Ullrich Ltd","780"
"fraud_Roberts, Daniel and Macejkovic","780"
"fraud_Larkin Ltd","780"
"fraud_Prohaska-Murray","780"
"fraud_Goyette, Howell and Collier","780"
"fraud_Torphy-Goyette","780"
"fraud_Cummings LLC","779"
"fraud_Okuneva, Schneider and Rau","779"
"fraud_Macejkovic-Lesch","779"
"fraud_Jacobi and Sons","779"
"fraud_Harris Inc","778"
"fraud_Bernhard, Grant and Langworth","778"
"fraud_Conroy-Cruickshank","778"
"fraud_Brekke and Sons","778"
"fraud_Berge LLC","778"
"fraud_Jast-McDermott","778"
"fraud_Robel, Cummerata and Prosacco","778"
"fraud_Haley, Jewess and Bechtelar","778"
"fraud_Friesen Inc","777"
"fraud_Cummerata-Jones","777"
"fraud_Turner and Sons","777"
"fraud_Bednar PLC","777"
"fraud_Daugherty, Pouros and Beahan","777"
"fraud_Raynor, Feest and Miller","776"
"fraud_Zieme, Bode and Dooley","776"
"fraud_Kutch LLC","776"
"fraud_Spencer PLC","775"
"fraud_Connelly, Reichert and Fritsch","775"
"fraud_Huels-Nolan","774"
"fraud_Bartoletti-Wunsch","774"
"fraud_Corwin-Collins","774"
"fraud_Zboncak, Rowe and Murazik","773"
"fraud_Marks Inc","773"
"fraud_Jenkins, Hauck and Friesen","773"
"fraud_Tillman, Dickinson and Labadie","772"
"fraud_Raynor, Reinger and Hagenes","772"
"fraud_Johns Inc","772"
"fraud_Mraz-Herzog","772"
"fraud_Heller-Langosh","771"
"fraud_Torp-Labadie","771"
"fraud_Lind, Huel and McClure","771"
"fraud_Reichel Inc","771"
"fraud_Baumbach, Feeney and Morar","771"
"fraud_Goyette Inc","771"
"fraud_Kutch, Hermiston and Farrell","770"
"fraud_Thiel-Thiel","770"
"fraud_Dare, Casper and Bartoletti","770"
"fraud_Kuvalis Ltd","770"
"fraud_Parker, Nolan and Trantow","770"
"fraud_Kling-Ernser","769"
"fraud_Schmitt Inc","769"
"fraud_Effertz LLC","769"
"fraud_Larson-Moen","769"
"fraud_Lesch Ltd","769"
"fraud_Luettgen PLC","768"
"fraud_Padberg-Rogahn","768"
"fraud_Schaefer, McGlynn and Bosco","768"
"fraud_Bins-Tillman","767"
"fraud_Rodriguez Group","766"
"fraud_Lakin, Ferry and Beatty","766"
"fraud_Cormier, Stracke and Thiel","765"
"fraud_Larkin, Stracke and Greenfelder","765"
"fraud_Kihn-Fritsch","765"
"fraud_Kozey-Boehm","764"
"fraud_Welch, Rath and Koepp","764"
"fraud_Volkman PLC","764"
"fraud_Schuppe-Schuppe","764"
"fraud_McCullough, Hudson and Schuster","763"
"fraud_Beier LLC","763"
"fraud_Stark-Batz","763"
"fraud_Stanton, Jakubowski and Baumbach","763"
"fraud_Schuppe LLC","763"
"fraud_Reichert, Shanahan and Hayes","762"
"fraud_Lesch, D'Amore and Brown","762"
"fraud_Cruickshank-Mills","762"
"fraud_Reilly, Heaney and Cole","762"
"fraud_Nienow PLC","761"
"fraud_Upton PLC","761"
"fraud_Ankunding LLC","761"
"fraud_Jast Ltd","760"
"fraud_Schumm, McLaughlin and Carter","760"
"fraud_Powlowski-Weimann","760"
"fraud_Hoppe, Harris and Bednar","760"
"fraud_Howe PLC","760"
"fraud_Schmeler-Howe","759"
"fraud_Fadel, Mertz and Rippin","759"
"fraud_Abshire PLC","759"
"fraud_Kutch, Steuber and Gerhold","759"
"fraud_Rempel Inc","759"
"fraud_Daugherty-Thompson","759"
"fraud_Dibbert and Sons","759"
"fraud_Effertz, Welch and Schowalter","759"
"fraud_Runolfsdottir, Mueller and Hand","758"
"fraud_Heaney-Marquardt","758"
"fraud_Johns-Hoeger","758"
"fraud_Schmidt and Sons","758"
"fraud_Bernhard Inc","758"
"fraud_Ruecker, Beer and Collier","757"
"fraud_Mosciski, Ziemann and Farrell","757"
"fraud_Haley, Batz and Auer","757"
"fraud_Kozey-Kuhlman","757"
"fraud_Brown-Greenholt","756"
"fraud_Wilkinson Ltd","756"
"fraud_Gottlieb, Considine and Schultz","756"
"fraud_Schoen, Nienow and Bauch","756"
"fraud_Fisher Inc","756"
"fraud_Grimes LLC","755"
"fraud_Heathcote LLC","755"
"fraud_Nicolas, Hills and McGlynn","755"
"fraud_Frami Group","755"
"fraud_Langworth, Boehm and Gulgowski","755"
"fraud_Schulist Ltd","755"
"fraud_Shanahan-Lehner","755"
"fraud_O'Hara-Wilderman","755"
"fraud_Berge, Kautzer and Harris","755"
"fraud_Hills-Boyer","755"
"fraud_Bauch-Blanda","755"
"fraud_Auer-West","754"
"fraud_Hermiston, Russel and Price","754"
"fraud_Morissette-Schaefer","754"
"fraud_Schiller Ltd","754"
"fraud_Roberts, Ryan and Smith","754"
"fraud_Fisher-Schowalter","753"
"fraud_Labadie LLC","753"
"fraud_Schmeler, Bashirian and Price","753"
"fraud_Hagenes, Kohler and Hoppe","753"
"fraud_Turcotte, McKenzie and Koss","753"
"fraud_Feil, Hilpert and Koss","753"
"fraud_Romaguera, Cruickshank and Greenholt","753"
"fraud_Bahringer-Streich","753"
"fraud_Abbott-Rogahn","752"
"fraud_Ernser-Lynch","752"
"fraud_Hills-Witting","752"
"fraud_Labadie, Treutel and Bode","752"
