"city","total_trans","fraud_trans","fraud_rate","fraud_amount"
"Hubbell","19","19","100.00","8431.93"
"Seattle","19","19","100.00","12965.47"
"Coulee Dam","15","15","100.00","6467.81"
"Melville","15","15","100.00","10404.97"
"Craig","14","14","100.00","11641.22"
"West Frankfort","13","13","100.00","6751.81"
"Clinton","12","12","100.00","8131.43"
"Morrowville","12","12","100.00","7993.74"
"La Grande","12","12","100.00","8789.74"
"Granbury","12","12","100.00","8350.56"
"Byesville","12","12","100.00","5098.57"
"Kaktovik","12","12","100.00","7807.28"
"Springville","12","12","100.00","6463.80"
"Mineral","12","12","100.00","7045.77"
"Kirkwood","12","12","100.00","9874.94"
"Phelps","11","11","100.00","5764.55"
"Madisonville","11","11","100.00","7229.89"
"Lexington","11","11","100.00","7988.02"
"Walkertown","11","11","100.00","5113.92"
"Mount Vernon","11","11","100.00","8564.29"
"Winnsboro","11","11","100.00","5007.60"
"Beacon","11","11","100.00","6462.60"
"Roland","11","11","100.00","7066.92"
"Kirtland","10","10","100.00","8598.82"
"Senatobia","10","10","100.00","6868.06"
"Ashland","10","10","100.00","6149.41"
"Marshall","10","10","100.00","4976.26"
"Downey","10","10","100.00","5858.01"
"Orange Park","10","10","100.00","6807.75"
"Greenport","10","10","100.00","7323.65"
"Mountain City","10","10","100.00","7068.08"
"Isanti","10","10","100.00","3273.02"
"Seligman","10","10","100.00","4709.98"
"Ridge Spring","10","10","100.00","6950.25"
"Waukau","10","10","100.00","4693.06"
"Grifton","10","10","100.00","4729.57"
"Nanuet","10","10","100.00","6263.21"
"Clarion","9","9","100.00","4944.02"
"Oakton","9","9","100.00","4908.57"
"North East","9","9","100.00","8265.83"
"Medford","9","9","100.00","4539.62"
"Guthrie","9","9","100.00","4175.17"
"Morven","8","8","100.00","4715.73"
"Rice","8","8","100.00","3671.14"
"Crouse","8","8","100.00","3023.40"
"Irvington","8","8","100.00","6197.95"
"Wappapello","8","8","100.00","6737.85"
"Gaines","8","8","100.00","4831.61"
"Pleasant Hill","8","8","100.00","1348.53"
"Claypool","7","7","100.00","5671.95"
"Karns City","7","7","100.00","6121.54"
"Chattanooga","7","7","100.00","4900.65"
"Vacaville","7","7","100.00","2494.25"
"Norfolk","7","7","100.00","4008.75"
"Wever","6","6","100.00","4272.48"
"Aurora","654","23","3.52","12298.80"
"Clearwater","635","16","2.52","4625.12"
"Jay","643","16","2.49","4679.33"
"Moscow","642","16","2.49","8483.78"
"Chatham","648","16","2.47","5784.76"
"Providence","641","15","2.34","10994.76"
"Benton","645","15","2.33","10867.92"
"Boulder","645","15","2.33","8100.37"
"Whittemore","646","15","2.32","6515.12"
"White Sulphur Springs","651","15","2.30","4975.58"
"Howes Cave","651","15","2.30","9791.75"
"Elk Rapids","621","14","2.25","9793.38"
"Sardis","634","14","2.21","4976.86"
"New Memphis","637","14","2.20","9445.70"
"Old Hickory","643","14","2.18","6280.79"
"Mc Clellandtown","644","14","2.17","5647.75"
"Saint Francis","646","14","2.17","8414.67"
"Monitor","646","14","2.17","6534.02"
"Burns Flat","647","14","2.16","9645.79"
"Preston","647","14","2.16","5782.20"
"Moriches","651","14","2.15","2512.96"
"Rock Glen","653","14","2.14","8078.83"
"Sprague","629","13","2.07","8345.81"
"Williamsburg","640","13","2.03","6634.18"
"Brashear","643","13","2.02","8091.02"
"Owensville","642","13","2.02","8269.16"
"Newport","646","13","2.01","6237.45"
"Du Pont","654","13","1.99","7247.20"
"Ironton","658","13","1.98","8519.55"
"Yellowstone National Park","629","12","1.91","7780.88"
"Adams","632","12","1.90","8118.71"
"Paris","636","12","1.89","6215.03"
"Webster City","636","12","1.89","5412.14"
"Livonia","635","12","1.89","8007.19"
"Wittenberg","637","12","1.88","9040.71"
"Albuquerque","1284","24","1.87","11722.84"
"Skytop","643","12","1.87","7698.71"
"Ragland","643","12","1.87","8728.23"
"Etlan","641","12","1.87","4186.53"
"Bigelow","642","12","1.87","4472.91"
"Lorenzo","644","12","1.86","6669.03"
"Annapolis","646","12","1.86","6864.58"
"Washoe Valley","646","12","1.86","5130.77"
"Emmons","650","12","1.85","3728.91"
"Westfir","653","12","1.84","6588.84"
"Valentine","654","12","1.83","6985.43"
"Mc Intosh","613","11","1.79","6419.59"
"Lithopolis","613","11","1.79","4557.03"
"Manquin","629","11","1.75","6683.76"
"Palmdale","627","11","1.75","6560.10"
"Fairhope","632","11","1.74","7571.37"
"Knowlesville","644","11","1.71","6195.09"
"Loving","648","11","1.70","6609.47"
"Azusa","646","11","1.70","4449.24"
"Ravenna","650","11","1.69","6896.52"
"Sea Island","655","11","1.68","5152.54"
"Remer","654","11","1.68","5470.27"
"South Richmond Hill","660","11","1.67","5062.80"
"Parker Dam","628","10","1.59","5145.52"
"West Finley","633","10","1.58","6311.83"
"Maria Stein","634","10","1.58","6405.03"
"Omaha","634","10","1.58","6833.95"
"Albany","1270","20","1.57","12850.38"
"Hazel","637","10","1.57","5370.34"
"Dell City","636","10","1.57","2916.90"
"Newton","637","10","1.57","6236.58"
"Sunflower","635","10","1.57","4170.40"
"East Rochester","638","10","1.57","7551.47"
"Iselin","639","10","1.56","6878.36"
"Hampton","1293","20","1.55","10531.31"
"Humboldt","647","10","1.55","5159.23"
"Lepanto","644","10","1.55","4646.76"
"Greenbush","647","10","1.55","5790.28"
"Wendel","646","10","1.55","5005.76"
"Pea Ridge","649","10","1.54","4656.02"
"Amorita","651","10","1.54","4598.08"
"Huntington Beach","651","10","1.54","3318.91"
"Thornville","650","10","1.54","5460.83"
"Northport","650","10","1.54","5325.11"
"Premier","650","10","1.54","5973.56"
"Burrton","1241","19","1.53","12002.06"
"Hovland","1261","19","1.51","12011.59"
"De Lancey","616","9","1.46","8335.41"
"Akron","627","9","1.44","7182.18"
"Claremont","624","9","1.44","5347.56"
"North Brookfield","627","9","1.44","6065.78"
"Richland","623","9","1.44","6118.20"
