"merchant","top_5_cc_amount","total_card_amount","top_5_concentration_pct"
"fraud_Boyer-Haley","72334.95","157668.08","45.88"
"fraud_Satterfield-Lowe","41499.91","97549.43","42.54"
"fraud_Kozey-McDermott","46055.69","112050.50","41.10"
"fraud_Monahan, Hermann and Johns","52024.57","129633.95","40.13"
"fraud_Johnston-Casper","47915.08","120335.09","39.82"
"fraud_Eichmann, Hayes and Treutel","48544.58","129186.99","37.58"
"fraud_Champlin, Rolfson and Connelly","49074.01","134645.44","36.45"
"fraud_Kovacek Ltd","45252.38","125761.17","35.98"
"fraud_Corwin-Romaguera","38438.07","112587.64","34.14"
"fraud_Hackett Group","48610.86","143682.94","33.83"
"fraud_Schroeder, Wolff and Hermiston","38600.73","115247.64","33.49"
"fraud_Romaguera and Sons","35135.77","108076.09","32.51"
"fraud_Ritchie, Oberbrunner and Cremin","40445.60","126491.70","31.97"
"fraud_Tillman LLC","40500.64","128049.72","31.63"
"fraud_Ankunding-Carroll","41753.55","132658.53","31.47"
"fraud_Ritchie, Bradtke and Stiedemann","34548.10","110064.21","31.39"
"fraud_Kunze, Larkin and Mayert","42554.54","138677.04","30.69"
"fraud_Goyette-Herzog","32632.51","107659.69","30.31"
"fraud_Mosciski Group","37546.50","124585.64","30.14"
"fraud_Kessler Group","27111.57","90036.45","30.11"
"fraud_Bednar Inc","33999.57","113109.95","30.06"
"fraud_Fritsch LLC","38165.71","127956.67","29.83"
"fraud_Hagenes, Hermann and Stroman","37512.17","128244.21","29.25"
"fraud_Little-Gleichner","40872.49","140522.10","29.09"
"fraud_Reichel, Bradtke and Blanda","35248.28","121399.62","29.03"
"fraud_Turner LLC","28951.51","101130.47","28.63"
"fraud_Hahn, Douglas and Schowalter","31475.27","110940.85","28.37"
"fraud_Reichert-Weissnat","35668.18","126219.66","28.26"
"fraud_Leannon-Nikolaus","30768.98","108987.49","28.23"
"fraud_Larson, Quitzon and Spencer","32814.78","118552.97","27.68"
"fraud_Douglas, DuBuque and McKenzie","34891.67","127964.19","27.27"
"fraud_Hodkiewicz, Prohaska and Paucek","25209.02","95992.65","26.26"
"fraud_Thiel Ltd","23188.40","89211.71","25.99"
"fraud_Medhurst, Labadie and Gottlieb","28856.41","112434.17","25.67"
"fraud_Tromp Group","26680.27","104035.30","25.65"
"fraud_Jerde-Hermann","21910.89","85742.37","25.55"
"fraud_McLaughlin, Armstrong and Koepp","21310.19","84505.78","25.22"
"fraud_Kris-Kertzmann","25323.35","101415.46","24.97"
"fraud_Kilback, Nitzsche and Leffler","21782.39","89025.72","24.47"
"fraud_Lynch-Mohr","24548.37","102907.99","23.85"
"fraud_Lemke and Sons","21716.75","91205.42","23.81"
"fraud_Kessler Inc","23395.24","105543.94","22.17"
"fraud_Veum-Koelpin","21005.09","96882.04","21.68"
"fraud_Treutel-King","17285.14","80093.14","21.58"
"fraud_Hyatt-Blick","19576.96","99862.22","19.60"
"fraud_Breitenberg LLC","18255.40","97191.58","18.78"
"fraud_Hartmann, Rowe and Hermann","18128.81","98789.47","18.35"
"fraud_Block-Hauck","17056.70","94063.03","18.13"
"fraud_Ebert-Daugherty","19220.71","107997.79","17.80"
"fraud_Gislason Group","30897.69","232132.39","13.31"
"fraud_Kerluke-Abshire","27092.76","214801.43","12.61"
"fraud_Bashirian Group","25434.56","209813.53","12.12"
"fraud_Rempel Inc","25829.01","219912.22","11.75"
"fraud_Baumbach, Strosin and Nicolas","25750.30","234446.18","10.98"
"fraud_Mohr-Bayer","24111.82","222085.01","10.86"
"fraud_Roob, Conn and Tremblay","24349.82","225725.44","10.79"
"fraud_Streich, Dietrich and Barton","22502.96","213080.00","10.56"
"fraud_Kuhic LLC","23958.70","229251.33","10.45"
"fraud_Ankunding LLC","20277.87","199803.39","10.15"
"fraud_Watsica, Haag and Considine","23260.34","232096.92","10.02"
"fraud_Daugherty, Pouros and Beahan","22991.08","231810.67","9.92"
"fraud_Conroy Ltd","22145.94","224017.32","9.89"
"fraud_Turner and Sons","21730.37","222075.47","9.79"
"fraud_Heathcote LLC","21206.26","217757.46","9.74"
"fraud_Kuhic, Bins and Pfeffer","22062.55","227121.45","9.71"
"fraud_Haley, Jewess and Bechtelar","23560.22","246822.01","9.55"
"fraud_Okuneva, Schneider and Rau","20261.84","213974.85","9.47"
"fraud_Pouros-Haag","21905.56","233039.71","9.40"
"fraud_Terry-Huel","21294.79","227928.61","9.34"
"fraud_Metz-Boehm","20328.15","217893.54","9.33"
"fraud_Price Inc","22157.09","238498.56","9.29"
"fraud_Lesch Ltd","22718.33","245194.89","9.27"
"fraud_Zboncak, Rowe and Murazik","20603.75","223632.81","9.21"
"fraud_Auer-West","19743.79","215424.01","9.17"
"fraud_Pacocha-Bauch","21344.15","233823.34","9.13"
"fraud_Reichert, Huels and Hoppe","17434.48","194952.94","8.94"
"fraud_Kihn, Abernathy and Douglas","17944.76","201947.82","8.89"
"fraud_Stanton, Jakubowski and Baumbach","19056.46","216412.77","8.81"
"fraud_Greenfelder, Bartoletti and Davis","11823.23","134944.61","8.76"
"fraud_Goyette, Howell and Collier","19716.24","225199.78","8.75"
"fraud_Yost, Block and Koepp","11540.51","132154.38","8.73"
"fraud_Kris-Padberg","20658.20","237851.29","8.69"
"fraud_Predovic Inc","18788.76","217588.78","8.63"
"fraud_Bins, Balistreri and Beatty","18872.12","219331.52","8.60"
"fraud_Kunde-Sanford","10904.86","126903.91","8.59"
"fraud_Buckridge PLC","11013.91","128174.27","8.59"
"fraud_Barrows PLC","18708.62","218321.38","8.57"
"fraud_McGlynn-Heathcote","11131.99","130131.57","8.55"
"fraud_Little, Gutmann and Lynch","15180.75","179122.47","8.48"
"fraud_Jewess LLC","19832.98","234560.31","8.46"
"fraud_Hudson-Grady","18435.52","218431.24","8.44"
"fraud_Gerlach Inc","16947.55","203397.10","8.33"
"fraud_Weimann, Kuhic and Beahan","18965.54","232420.68","8.16"
"fraud_Torphy-Goyette","18359.75","224946.18","8.16"
"fraud_Fisher Inc","15807.95","194317.89","8.14"
"fraud_Baumbach, Feeney and Morar","15123.75","186188.51","8.12"
"fraud_Lemke-Gutmann","19462.12","241015.64","8.08"
"fraud_Jones, Sawayn and Romaguera","9467.09","117243.01","8.07"
"fraud_Stamm-Witting","15842.88","196514.85","8.06"
"fraud_Jast-McDermott","17313.76","215190.74","8.05"
"fraud_Cremin, Hamill and Reichel","9920.81","123806.17","8.01"
"fraud_Mayert Group","18972.68","236976.47","8.01"
"fraud_Swaniawski, Lowe and Robel","18889.56","236099.97","8.00"
"fraud_Pagac LLC","17771.36","223003.20","7.97"
"fraud_Hills-Witting","15202.76","191334.62","7.95"
"fraud_Miller-Harris","9587.45","120739.05","7.94"
"fraud_Ruecker, Beer and Collier","17099.54","215612.38","7.93"
"fraud_Tillman, Fritsch and Schmitt","10071.67","127748.95","7.88"
"fraud_Lebsack and Sons","10671.33","135919.82","7.85"
"fraud_McGlynn-Jaskolski","9960.67","127965.35","7.78"
"fraud_Lynch Ltd","17376.12","224603.99","7.74"
"fraud_Wiza LLC","8881.88","114846.80","7.73"
"fraud_Kuphal-Bartoletti","10060.02","130342.31","7.72"
"fraud_Reynolds-Schinner","9443.90","122294.58","7.72"
"fraud_Mohr Inc","18798.52","244061.50","7.70"
"fraud_Flatley-Durgan","9984.02","130652.87","7.64"
"fraud_Thiel PLC","10050.54","131810.12","7.63"
"fraud_Fisher-Schowalter","15920.87","208760.08","7.63"
"fraud_Bahringer, Schoen and Corkery","16679.28","219744.30","7.59"
"fraud_Quitzon, Green and Bashirian","17594.28","231854.72","7.59"
"fraud_Macejkovic-Lesch","17805.70","235327.63","7.57"
"fraud_Hermann and Sons","17047.10","225484.87","7.56"
"fraud_Friesen Inc","15851.08","209832.21","7.55"
"fraud_Smith-Stokes","8945.02","118774.51","7.53"
"fraud_Simonis-Prohaska","9012.23","120139.85","7.50"
"fraud_Monahan, Bogisich and Ledner","9032.34","120603.90","7.49"
"fraud_Towne, Greenholt and Koepp","16105.59","215665.09","7.47"
"fraud_Bednar Group","9776.78","130966.56","7.47"
"fraud_Bernhard, Grant and Langworth","16208.49","217800.22","7.44"
"fraud_Mante Group","9475.88","127979.70","7.40"
"fraud_Welch Inc","8921.06","120669.84","7.39"
"fraud_Hickle Group","15931.26","215762.73","7.38"
"fraud_Pfeffer and Sons","17989.86","244242.92","7.37"
"fraud_Schmeler Inc","8798.84","120082.41","7.33"
"fraud_Schmitt Ltd","9118.93","124533.27","7.32"
"fraud_Jacobi and Sons","15754.98","216351.53","7.28"
"fraud_Koelpin and Sons","9502.57","130797.04","7.27"
"fraud_Terry, Johns and Bins","8697.93","120132.76","7.24"
"fraud_Torp-Lemke","8261.73","114604.05","7.21"
"fraud_Jaskolski-Vandervort","8358.88","115860.15","7.21"
"fraud_Huel Ltd","8871.85","123179.45","7.20"
"fraud_Hayes, Marquardt and Dibbert","8829.40","123055.21","7.18"
"fraud_Botsford Ltd","16978.09","237003.90","7.16"
"fraud_Medhurst PLC","15077.84","210675.20","7.16"
"fraud_Reichert, Rowe and Mraz","13589.16","189916.23","7.16"
"fraud_Bruen-Yost","9241.60","129000.82","7.16"
"fraud_Labadie, Treutel and Bode","15272.01","213739.86","7.15"
"fraud_Wintheiser, Dietrich and Schimmel","10088.27","141047.72","7.15"
"fraud_Boyer-Reichert","15528.65","217208.54","7.15"
"fraud_Herzog Ltd","9436.14","132246.70","7.14"
"fraud_Durgan-Auer","9025.66","126371.16","7.14"
"fraud_Lehner, Reichert and Mills","8787.74","123019.01","7.14"
"fraud_Mosciski, Ziemann and Farrell","15334.01","215322.11","7.12"
"fraud_Eichmann-Russel","8112.76","114183.59","7.11"
"fraud_Volkman Ltd","9317.04","131270.38","7.10"
"fraud_Kerluke, Kertzmann and Wiza","8928.08","125845.49","7.09"
"fraud_Roberts-Beahan","8027.05","114499.76","7.01"
"fraud_Gleason-Macejkovic","15376.21","219508.24","7.00"
"fraud_Rippin, Kub and Mann","8563.97","122434.42","6.99"
"fraud_Jast Ltd","14607.05","209020.95","6.99"
"fraud_Donnelly PLC","9860.65","141301.85","6.98"
"fraud_Nader-Heller","8599.14","123666.62","6.95"
"fraud_Maggio-Fahey","8550.81","123180.99","6.94"
"fraud_Herman, Treutel and Dickens","9426.21","135960.85","6.93"
"fraud_Kihn Inc","15448.79","222853.88","6.93"
"fraud_Sawayn PLC","14575.37","211906.25","6.88"
"fraud_Stiedemann Inc","8748.47","127295.64","6.87"
"fraud_Howe Ltd","8458.33","123099.62","6.87"
"fraud_Beier-Hyatt","15885.11","232254.59","6.84"
"fraud_Stoltenberg-Beatty","15781.62","231165.52","6.83"
"fraud_Gottlieb, Considine and Schultz","14583.85","213959.50","6.82"
"fraud_Block-Parisian","9115.57","133881.90","6.81"
"fraud_Wisozk and Sons","8041.55","118215.91","6.80"
"fraud_Romaguera, Cruickshank and Greenholt","14323.32","210578.96","6.80"
"fraud_Halvorson Group","8173.56","120277.96","6.80"
"fraud_Goyette Inc","15042.72","221773.29","6.78"
"fraud_Parisian, Schiller and Altenwerth","8136.28","120677.14","6.74"
"fraud_Douglas, Schneider and Turner","16064.69","238930.97","6.72"
"fraud_Schmeler, Bashirian and Price","15034.67","225135.17","6.68"
"fraud_Zemlak Group","8714.60","130477.98","6.68"
"fraud_Greenholt, O'Hara and Balistreri","14179.36","212797.38","6.66"
"fraud_Herman Inc","7825.41","117585.66","6.66"
"fraud_Kassulke PLC","12405.80","186215.74","6.66"
"fraud_Nitzsche, Kessler and Wolff","14748.08","221765.54","6.65"
"fraud_McDermott-Rice","8224.83","123835.16","6.64"
"fraud_Pouros-Conroy","15990.27","240713.18","6.64"
"fraud_Boehm, Predovic and Reinger","8543.28","128773.43","6.63"
"fraud_Corwin-Gorczany","8574.02","129495.00","6.62"
"fraud_Kuphal-Predovic","7777.50","117477.66","6.62"
"fraud_Lehner, Mosciski and King","8562.59","129586.08","6.61"
"fraud_Bogisich-Homenick","8487.53","128617.09","6.60"
"fraud_Nienow, Ankunding and Collier","7770.25","118302.17","6.57"
"fraud_Block Group","8033.63","122887.51","6.54"
"fraud_Williamson LLC","8461.88","130124.52","6.50"
"fraud_Schuppe, Nolan and Hoeger","13871.48","213551.66","6.50"
"fraud_McCullough LLC","7952.99","122606.70","6.49"
"fraud_Turner, Ruecker and Parisian","8190.96","127061.07","6.45"
"fraud_Schmidt and Sons","13510.39","211364.73","6.39"
"fraud_Towne LLC","7783.44","121751.08","6.39"
"fraud_Altenwerth, Cartwright and Koss","11801.64","184861.11","6.38"
"fraud_Volkman-Predovic","12338.60","193803.47","6.37"
"fraud_Christiansen-Gusikowski","7613.25","119660.78","6.36"
"fraud_Flatley Group","7762.03","122327.08","6.35"
"fraud_Gutmann-Upton","7863.72","123873.98","6.35"
"fraud_Rohan, White and Aufderhar","8557.37","134926.28","6.34"
"fraud_Willms, Kris and Bergnaum","13369.66","211691.63","6.32"
"fraud_Wiza, Schaden and Stark","7826.81","123749.65","6.32"
"fraud_Balistreri-Nader","7737.00","122542.16","6.31"
"fraud_Reichert, Shanahan and Hayes","12421.13","197010.44","6.30"
"fraud_Baumbach, Hodkiewicz and Walsh","14736.44","235146.27","6.27"
"fraud_Kris-Weimann","7726.36","123467.97","6.26"
"fraud_Johnson, Runolfsdottir and Mayer","8133.95","131271.86","6.20"
"fraud_Morissette PLC","12537.56","202648.80","6.19"
"fraud_Heathcote, Yost and Kertzmann","11723.43","190120.13","6.17"
"fraud_Hermann-Gaylord","7911.27","128841.78","6.14"
"fraud_Dickinson-Rempel","7395.83","121374.38","6.09"
"fraud_Huel-Langworth","7700.52","126779.80","6.07"
"fraud_Ferry, Lynch and Kautzer","7925.41","131165.84","6.04"
"fraud_Kozey-Boehm","13080.00","216765.25","6.03"
"fraud_Stamm-Rodriguez","7277.48","120983.56","6.02"
"fraud_Keeling-Crist","7491.96","124539.30","6.02"
"fraud_Ruecker Group","7183.80","120537.99","5.96"
"fraud_Denesik and Sons","12822.75","215237.14","5.96"
"fraud_Hamill-Daugherty","6798.65","114604.35","5.93"
"fraud_Bernier, Volkman and Hoeger","7030.42","118821.74","5.92"
"fraud_Turcotte-Halvorson","7204.67","122003.28","5.91"
"fraud_Brown PLC","6913.49","118667.25","5.83"
"fraud_Spencer-Runolfsson","7336.25","126178.44","5.81"
"fraud_Dooley Inc","12572.70","216813.90","5.80"
"fraud_Stehr, Jewess and Schimmel","6635.19","114982.14","5.77"
"fraud_Dach-Nader","6837.03","119148.15","5.74"
"fraud_Kemmer-Buckridge","7059.79","123419.49","5.72"
"fraud_Boehm, Block and Jakubowski","6447.03","113250.83","5.69"
"fraud_Dooley-Thompson","6821.62","120882.85","5.64"
"fraud_Rodriguez, Yost and Jenkins","6532.87","118082.02","5.53"
"fraud_Langworth, Boehm and Gulgowski","11590.58","209541.66","5.53"
"fraud_Boyer PLC","18457.08","333726.56","5.53"
"fraud_Kerluke PLC","6792.75","123086.67","5.52"
"fraud_Kerluke, Considine and Macejkovic","6085.56","113062.06","5.38"
"fraud_Haley Group","6901.06","130698.29","5.28"
"fraud_Klocko LLC","6611.77","127436.11","5.19"
"fraud_Runolfsson and Sons","3109.26","60806.56","5.11"
"fraud_Kling-Grant","3102.46","61680.55","5.03"
"fraud_Kerluke Inc","6823.07","137006.95","4.98"
"fraud_Spinka-Welch","3071.74","61859.90","4.97"
"fraud_Kuhn LLC","16200.09","328751.65","4.93"
"fraud_Kutch Group","2833.21","58660.36","4.83"
"fraud_Trantow PLC","2852.75","59586.04","4.79"
"fraud_Skiles-Ankunding","2903.42","61088.85","4.75"
"fraud_Moore, Dibbert and Koepp","6218.04","131448.24","4.73"
"fraud_Rutherford, Homenick and Bergstrom","2991.10","63595.99","4.70"
"fraud_McCullough Group","2814.28","60143.28","4.68"
"fraud_Murray Ltd","2797.87","60315.39","4.64"
"fraud_Towne, Walker and Borer","2844.34","61571.84","4.62"
"fraud_Ferry, Reichel and DuBuque","2964.81","65181.34","4.55"
"fraud_Roob LLC","2837.32","62930.77","4.51"
"fraud_Kassulke Inc","6481.20","145066.78","4.47"
"fraud_Rempel PLC","2616.80","58722.50","4.46"
"fraud_Cummings Group","2598.70","58462.26","4.45"
"fraud_Bahringer-Larson","2582.47","58161.76","4.44"
"fraud_Jaskolski-Dibbert","2696.80","60794.65","4.44"
"fraud_Bins-Tillman","6578.59","149629.72","4.40"
"fraud_Spinka Inc","2740.58","62372.34","4.39"
"fraud_Morar Inc","2639.60","60295.94","4.38"
"fraud_Fadel, Mertz and Rippin","6498.55","150795.88","4.31"
"fraud_Shields Inc","2519.18","58681.84","4.29"
"fraud_Collier Inc","2546.16","59614.61","4.27"
"fraud_Harris, Gusikowski and Heaney","2520.47","59043.48","4.27"
"fraud_Wiegand-Lowe","2558.61","59927.70","4.27"
"fraud_Tromp, Kerluke and Glover","2542.68","59880.44","4.25"
"fraud_Stokes, Christiansen and Sipes","2612.04","61504.58","4.25"
"fraud_Swaniawski, Bahringer and Ledner","2529.58","59931.26","4.22"
"fraud_Rowe-Vandervort","2627.59","62441.87","4.21"
"fraud_Bernier, Streich and Jewess","2650.64","63329.02","4.19"
"fraud_Kohler, Lindgren and Koelpin","2221.70","53070.63","4.19"
"fraud_Smitham-Schiller","2566.38","61348.39","4.18"
"fraud_Dach-Borer","2459.36","59023.64","4.17"
"fraud_Morissette, Weber and Wiegand","2549.81","61105.57","4.17"
"fraud_Gutmann Ltd","2498.51","60154.94","4.15"
"fraud_Cummerata-Hilpert","5912.02","143372.82","4.12"
"fraud_Schroeder, Hauck and Treutel","6049.97","148444.12","4.08"
"fraud_Abbott-Rogahn","6049.97","148146.16","4.08"
"fraud_Schumm PLC","12697.66","312110.35","4.07"
"fraud_Swift, Bradtke and Marquardt","2352.23","57811.57","4.07"
"fraud_Cormier LLC","12478.52","307445.45","4.06"
"fraud_Watsica LLC","4251.28","104770.86","4.06"
"fraud_Emmerich-Luettgen","2458.37","60540.78","4.06"
"fraud_Cassin-Harvey","2470.12","61423.41","4.02"
"fraud_Wilkinson LLC","4257.56","105921.25","4.02"
"fraud_Dicki Ltd","2504.88","62234.43","4.02"
"fraud_Kutch-Hegmann","2517.73","62904.80","4.00"
"fraud_VonRueden Group","2368.07","59441.53","3.98"
"fraud_Effertz, Welch and Schowalter","5686.78","143747.54","3.96"
"fraud_Kling-Ernser","5995.37","152811.94","3.92"
"fraud_Medhurst, Cartwright and Ebert","4085.00","104295.98","3.92"
"fraud_Dickinson Ltd","9366.81","239098.40","3.92"
"fraud_Hills-Olson","2295.55","58653.86","3.91"
"fraud_Wuckert-Walter","2372.26","60860.84","3.90"
"fraud_Pfeffer LLC","2247.99","57733.33","3.89"
"fraud_Paucek-Wiza","2322.17","59825.32","3.88"
"fraud_Gibson-Deckow","5715.20","147282.67","3.88"
