"merchant","transaction_count","fraud_count","total_amount","total_fraud_amount","fraud_rate_pct"
"fraud_Kozey-Boehm","2405","50","216765.25","50441.87","2.08"
"fraud_Herman, Treutel and Dickens","1596","33","135960.85","26520.54","2.07"
"fraud_Kuhic LLC","2450","49","229251.33","50415.34","2.00"
"fraud_Romaguera, Cruickshank and Greenholt","2378","47","210578.96","45120.88","1.98"
"fraud_Mosciski, Ziemann and Farrell","2455","47","215322.11","47251.46","1.91"
"fraud_Terry-Huel","2474","47","227928.61","46379.01","1.90"
"fraud_Lemke-Gutmann","2424","46","241015.64","45854.70","1.90"
"fraud_Boyer-Reichert","2418","46","217208.54","46672.08","1.90"
"fraud_Schmeler, Bashirian and Price","2403","43","225135.17","42354.85","1.79"
"fraud_Heathcote LLC","2398","43","217757.46","42802.73","1.79"
"fraud_Jast Ltd","2389","42","209020.95","41392.82","1.76"
"fraud_Miller-Harris","1588","28","120739.05","22281.42","1.76"
"fraud_Heathcote, Yost and Kertzmann","2394","42","190120.13","43272.77","1.75"
"fraud_Goyette Inc","2429","42","221773.29","41323.29","1.73"
"fraud_Kerluke-Abshire","2280","39","214801.43","39892.47","1.71"
"fraud_Gottlieb, Considine and Schultz","2393","41","213959.50","41853.84","1.71"
"fraud_Towne, Greenholt and Koepp","2414","41","215665.09","40874.41","1.70"
"fraud_Langworth, Boehm and Gulgowski","2425","41","209541.66","40890.08","1.69"
"fraud_Fisher-Schowalter","2443","41","208760.08","40875.27","1.68"
"fraud_Price Inc","2460","41","238498.56","41174.87","1.67"
"fraud_Gleason-Macejkovic","2508","42","219508.24","41846.69","1.67"
"fraud_Bednar Group","1614","27","130966.56","22239.06","1.67"
"fraud_Kris-Weimann","1505","25","123467.97","19915.49","1.66"
"fraud_Rempel Inc","2367","39","219912.22","38890.10","1.65"
"fraud_Streich, Dietrich and Barton","2391","39","213080.00","38986.14","1.63"
"fraud_Rau and Sons","3070","50","361804.42","15603.19","1.63"
"fraud_Padberg-Welch","2976","48","348204.38","14966.15","1.61"
"fraud_Moore, Dibbert and Koepp","1611","26","131448.24","20175.37","1.61"
"fraud_Kuhic, Bins and Pfeffer","2436","39","227121.45","39047.34","1.60"
"fraud_Greenholt, O'Hara and Balistreri","2386","38","212797.38","37114.31","1.59"
"fraud_Koelpin and Sons","1586","25","130797.04","20321.99","1.58"
"fraud_Labadie, Treutel and Bode","2419","38","213739.86","37866.71","1.57"
"fraud_Medhurst PLC","2426","38","210675.20","38093.64","1.57"
"fraud_Kerluke, Kertzmann and Wiza","1524","24","125845.49","19078.82","1.57"
"fraud_Schultz, Simonis and Little","2928","46","345015.36","14566.23","1.57"
"fraud_Volkman Ltd","1538","24","131270.38","18782.98","1.56"
"fraud_Durgan-Auer","1603","25","126371.16","20357.96","1.56"
"fraud_Bogisich-Homenick","1550","24","128617.09","19513.08","1.55"
"fraud_Koepp-Witting","2915","45","343260.24","13851.09","1.54"
"fraud_Rodriguez, Yost and Jenkins","1563","24","118082.02","19117.87","1.54"
"fraud_McGlynn-Heathcote","1558","24","130131.57","19185.51","1.54"
"fraud_Stanton, Jakubowski and Baumbach","2490","38","216412.77","37674.71","1.53"
"fraud_Gerlach Inc","2362","36","203397.10","36263.24","1.52"
"fraud_Nader-Heller","1512","23","123666.62","17870.04","1.52"
"fraud_Tillman, Fritsch and Schmitt","1584","24","127748.95","18856.88","1.52"
"fraud_Hudson-Ratke","3088","47","360253.99","14722.05","1.52"
"fraud_Rohan, White and Aufderhar","1587","24","134926.28","19693.60","1.51"
"fraud_Kihn, Abernathy and Douglas","2379","36","201947.82","35794.30","1.51"
"fraud_Mante Group","1535","23","127979.70","18621.73","1.50"
"fraud_Rippin, Kub and Mann","1539","23","122434.42","18583.76","1.49"
"fraud_McDermott-Weimann","3018","45","354141.09","13786.43","1.49"
"fraud_Kiehn-Emmerich","3092","46","361791.01","14543.06","1.49"
"fraud_Bashirian Group","2354","35","209813.53","35459.17","1.49"
"fraud_Donnelly PLC","1617","24","141301.85","19064.72","1.48"
"fraud_Doyle Ltd","3009","44","352167.45","13726.91","1.46"
"fraud_Murray-Smitham","3107","45","365052.41","14237.20","1.45"
"fraud_Altenwerth, Cartwright and Koss","2356","34","184861.11","34364.49","1.44"
"fraud_Stamm-Witting","2359","34","196514.85","32746.71","1.44"
"fraud_Reichert, Rowe and Mraz","2306","33","189916.23","32075.65","1.43"
"fraud_Mohr-Bayer","2449","35","222085.01","35178.36","1.43"
"fraud_Schmidt and Sons","2462","35","211364.73","35820.61","1.42"
"fraud_Strosin-Cruickshank","2987","42","347565.87","12853.07","1.41"
"fraud_Moen, Reinger and Murphy","2913","41","344850.25","12695.21","1.41"
"fraud_Auer-West","2426","34","215424.01","34231.37","1.40"
"fraud_Baumbach, Feeney and Morar","2381","33","186188.51","32003.13","1.39"
"fraud_Huel, Hammes and Witting","3100","43","364340.27","13881.10","1.39"
"fraud_Vandervort-Funk","3024","42","355015.94","13446.71","1.39"
"fraud_Bailey-Morar","3052","41","352398.63","12844.20","1.34"
"fraud_Kassulke PLC","2384","32","186215.74","32084.44","1.34"
"fraud_Hills-Witting","2461","33","191334.62","31771.41","1.34"
"fraud_Reichert, Huels and Hoppe","2406","32","194952.94","31621.45","1.33"
"fraud_Cole PLC","3093","41","361184.53","12677.59","1.33"
"fraud_Schmitt Ltd","1581","21","124533.27","16482.16","1.33"
"fraud_Brown PLC","1502","20","118667.25","15866.49","1.33"
"fraud_Volkman-Predovic","2412","32","193803.47","32344.73","1.33"
"fraud_Kuphal-Bartoletti","1586","21","130342.31","17219.41","1.32"
"fraud_Zboncak, Rowe and Murazik","2510","33","223632.81","32446.60","1.31"
"fraud_O'Keefe-Hudson","3056","40","358435.49","12388.99","1.31"
"fraud_Lockman, West and Runte","3166","41","366784.38","12779.13","1.30"
"fraud_Zemlak Group","1620","21","130477.98","16682.87","1.30"
"fraud_Jaskolski-Vandervort","1538","20","115860.15","15688.98","1.30"
"fraud_Bradtke PLC","3050","39","358934.77","12604.76","1.28"
"fraud_Miller-Hauck","3072","39","354345.97","12224.40","1.27"
"fraud_Stracke-Lemke","3073","39","358424.59","12037.50","1.27"
"fraud_Kunze Inc","3068","39","358172.04","12032.59","1.27"
"fraud_Flatley-Durgan","1522","19","130652.87","14848.52","1.25"
"fraud_Huel-Langworth","1605","20","126779.80","16466.27","1.25"
"fraud_Reichert, Shanahan and Hayes","2474","31","197010.44","30459.64","1.25"
"fraud_Bernier, Volkman and Hoeger","1523","19","118821.74","14460.58","1.25"
"fraud_Kerluke Inc","1601","20","137006.95","15640.43","1.25"
"fraud_Klocko LLC","1598","20","127436.11","15565.08","1.25"
"fraud_Block-Parisian","1610","20","133881.90","16014.47","1.24"
"fraud_Kiehn Inc","2983","37","343911.25","11607.66","1.24"
"fraud_DuBuque LLC","3006","37","353179.72","11565.13","1.23"
"fraud_Mosciski, Gislason and Mertz","3013","37","353812.27","11512.16","1.23"
"fraud_Lebsack and Sons","1639","20","135919.82","16287.02","1.22"
"fraud_Little, Gutmann and Lynch","2459","30","179122.47","29408.42","1.22"
"fraud_Parisian, Schiller and Altenwerth","1575","19","120677.14","15371.21","1.21"
"fraud_Wolf Inc","3046","37","350073.17","11654.02","1.21"
"fraud_Osinski, Ledner and Leuschke","3086","37","360656.31","11749.59","1.20"
"fraud_Ferry, Lynch and Kautzer","1586","19","131165.84","15284.76","1.20"
"fraud_Goldner, Kovacek and Abbott","3111","37","363601.70","11570.85","1.19"
"fraud_Lockman Ltd","3107","37","361487.64","11588.53","1.19"
"fraud_Welch Inc","1596","19","120669.84","14558.49","1.19"
"fraud_Fisher Inc","2440","29","194317.89","29633.26","1.19"
"fraud_Kovacek Ltd","1011","12","125761.17","117.64","1.19"
"fraud_Auer-Mosciski","2998","35","349006.60","10956.77","1.17"
"fraud_Schumm, Bauch and Ondricka","3089","36","360939.26","11084.35","1.17"
"fraud_Kerluke, Considine and Macejkovic","1533","18","113062.06","14399.70","1.17"
"fraud_Pacocha-O'Reilly","3169","37","368042.87","11450.64","1.17"
"fraud_Deckow-O'Conner","3110","36","359303.28","11132.96","1.16"
"fraud_Kuhic Inc","3023","35","351988.85","10780.60","1.16"
"fraud_Barton Inc","3010","35","349272.00","10676.06","1.16"
"fraud_Kuphal-Predovic","1560","18","117477.66","14817.72","1.15"
"fraud_Boyer PLC","4339","49","333726.56","46589.17","1.13"
"fraud_Corwin-Gorczany","1614","18","129495.00","14712.35","1.12"
"fraud_Bauch-Raynor","3118","35","363932.92","10884.96","1.12"
"fraud_Cartwright-Harris","2982","33","348408.71","10216.59","1.11"
"fraud_Ankunding LLC","2447","27","199803.39","27464.27","1.10"
"fraud_Hayes, Marquardt and Dibbert","1555","17","123055.21","14137.01","1.09"
"fraud_Kuhn LLC","4348","46","328751.65","37898.57","1.06"
"fraud_Goodwin-Nitzsche","3110","33","363543.07","10398.66","1.06"
"fraud_Rutherford-Mertz","3024","32","349124.80","10125.78","1.06"
"fraud_Schamberger-O'Keefe","3048","32","357361.88","9988.10","1.05"
"fraud_Stehr, Jewess and Schimmel","1532","16","114982.14","13159.09","1.04"
"fraud_Predovic Inc","2413","25","217588.78","24824.25","1.04"
"fraud_Huel Ltd","1655","17","123179.45","13308.17","1.03"
"fraud_Heller, Gutmann and Zieme","3032","31","351936.64","9586.20","1.02"
"fraud_Hackett-Lueilwitz","3151","32","362923.92","9859.21","1.02"
"fraud_Ruecker Group","1572","16","120537.99","12861.17","1.02"
"fraud_Kunde-Sanford","1577","16","126903.91","12337.50","1.01"
"fraud_Casper, Hand and Zulauf","3084","31","355228.35","9663.14","1.01"
"fraud_Stoltenberg-Beatty","2971","30","231165.52","25477.49","1.01"
"fraud_Koepp-Parker","2996","30","351763.15","9346.17","1.00"
"fraud_Schoen, Kuphal and Nitzsche","3120","31","361928.46","9909.95","0.99"
"fraud_Rowe, Batz and Goodwin","3036","30","350852.07","9145.72","0.99"
"fraud_Kutch and Sons","3036","30","350365.65","9443.75","0.99"
"fraud_Kilback LLC","5380","53","481107.08","14576.82","0.99"
"fraud_Dooley-Thompson","1540","15","120882.85","12125.61","0.97"
"fraud_Kerluke PLC","1542","15","123086.67","11994.63","0.97"
"fraud_Heidenreich PLC","2927","28","341821.33","8571.85","0.96"
"fraud_Lehner, Mosciski and King","1572","15","129586.08","11812.19","0.95"
"fraud_Bogisich Inc","3018","28","349968.45","8851.70","0.93"
"fraud_Beier-Hyatt","2936","27","232254.59","23697.11","0.92"
"fraud_Swift, Bradtke and Marquardt","1115","10","57811.57","126.10","0.90"
"fraud_Johnson, Runolfsdottir and Mayer","1564","14","131271.86","11221.28","0.90"
"fraud_Cormier LLC","4583","41","307445.45","37839.21","0.89"
"fraud_Quitzon, Green and Bashirian","2917","25","231854.72","22437.15","0.86"
"fraud_Conroy Ltd","2828","24","224017.32","20664.06","0.85"
"fraud_Jones, Sawayn and Romaguera","1555","13","117243.01","10296.22","0.84"
"fraud_Kovacek, Dibbert and Ondricka","3055","25","355952.69","7881.72","0.82"
"fraud_Ruecker, Beer and Collier","2370","19","215612.38","19084.38","0.80"
"fraud_Baumbach, Hodkiewicz and Walsh","2946","23","235146.27","20123.96","0.78"
"fraud_Macejkovic-Lesch","2840","22","235327.63","19155.21","0.77"
"fraud_Pouros-Haag","2940","22","233039.71","18743.13","0.75"
"fraud_Sawayn PLC","2916","22","211906.25","18629.47","0.75"
"fraud_Barrows PLC","2820","21","218321.38","17907.32","0.74"
"fraud_Nitzsche, Kessler and Wolff","2837","21","221765.54","18184.04","0.74"
"fraud_Hermann and Sons","2912","21","225484.87","19423.51","0.72"
"fraud_Hamill-Daugherty","1529","11","114604.35","8843.20","0.72"
"fraud_Dooley Inc","2835","20","216813.90","17535.48","0.71"
"fraud_Conroy-Cruickshank","3244","23","205451.02","245.91","0.71"
"fraud_Schumm PLC","4482","32","312110.35","30480.89","0.71"
"fraud_Turner and Sons","2896","20","222075.47","18322.02","0.69"
"fraud_Parisian and Sons","3335","23","210297.56","314.04","0.69"
"fraud_Watsica, Haag and Considine","2901","20","232096.92","17792.35","0.69"
"fraud_Pacocha-Bauch","2905","20","233823.34","18294.34","0.69"
"fraud_Bahringer, Schoen and Corkery","2893","20","219744.30","17828.26","0.69"
"fraud_Prohaska-Murray","3273","22","208026.33","274.21","0.67"
"fraud_Douglas, Schneider and Turner","2843","19","238930.97","16684.39","0.67"
"fraud_Mayert Group","2900","19","236976.47","17134.14","0.66"
"fraud_Botsford Ltd","2884","19","237003.90","16892.13","0.66"
"fraud_Haley, Jewess and Bechtelar","2882","19","246822.01","16660.96","0.66"
"fraud_Dach-Nader","1540","10","119148.15","8284.72","0.65"
"fraud_Denesik and Sons","2873","18","215237.14","16555.96","0.63"
"fraud_Lynch Ltd","2842","18","224603.99","16298.49","0.63"
"fraud_Jacobi and Sons","2891","18","216351.53","15664.21","0.62"
"fraud_Jewess LLC","2923","18","234560.31","15847.44","0.62"
"fraud_Swaniawski, Lowe and Robel","2945","18","236099.97","15497.62","0.61"
"fraud_Schuppe, Nolan and Hoeger","2954","18","213551.66","15265.24","0.61"
"fraud_Torphy-Goyette","2840","17","224946.18","15091.28","0.60"
"fraud_Pfeffer and Sons","2873","17","244242.92","15328.92","0.59"
"fraud_Jenkins, Hauck and Friesen","3278","19","208822.06","223.59","0.58"
"fraud_Kris-Padberg","2879","16","237851.29","14100.87","0.56"
"fraud_Baumbach, Strosin and Nicolas","2841","16","234446.18","13903.76","0.56"
"fraud_Mohr Inc","2896","16","244061.50","14100.78","0.55"
"fraud_Hickle Group","2889","16","215762.73","13874.81","0.55"
"fraud_Goyette, Howell and Collier","2828","15","225199.78","12770.74","0.53"
"fraud_Pagac LLC","2858","15","223003.20","12505.84","0.52"
"fraud_Roob, Conn and Tremblay","2878","15","225725.44","13184.76","0.52"
"fraud_Kihn Inc","2921","15","222853.88","12839.38","0.51"
"fraud_Tromp Group","982","5","104035.30","35.29","0.51"
"fraud_Kozey-McDermott","978","5","112050.50","44.71","0.51"
"fraud_Spencer-Runolfsson","1970","10","126178.44","4156.39","0.51"
"fraud_Pouros-Conroy","2915","15","240713.18","13689.82","0.51"
"fraud_Champlin, Rolfson and Connelly","981","5","134645.44","49.11","0.51"
"fraud_Ferry, Reichel and DuBuque","1198","6","65181.34","73.84","0.50"
"fraud_Lemke and Sons","1004","5","91205.42","44.29","0.50"
