"merchant","transaction_count","fraud_count","fraud_rate_pct"
"fraud_Kozey-Boehm","2405","50","2.08"
"fraud_Herman, Treutel and Dickens","1596","33","2.07"
"fraud_Kuhic LLC","2450","49","2.00"
"fraud_Romaguera, Cruickshank and Greenholt","2378","47","1.98"
"fraud_Mosciski, Ziemann and Farrell","2455","47","1.91"
"fraud_Boyer-Reichert","2418","46","1.90"
"fraud_Lemke-Gutmann","2424","46","1.90"
"fraud_Terry-Huel","2474","47","1.90"
"fraud_Heathcote LLC","2398","43","1.79"
"fraud_Schmeler, Bashirian and Price","2403","43","1.79"
