"merchant","transaction_count","fraud_count","fraud_rate_pct","total_amt","fraud_amt"
"fraud_Kozey-Boehm","2405","50","2.08","216765.25","50441.87"
"fraud_Kuhic LLC","2450","49","2.00","229251.33","50415.34"
"fraud_Mosciski, Ziemann and Farrell","2455","47","1.91","215322.11","47251.46"
"fraud_Boyer-Reichert","2418","46","1.90","217208.54","46672.08"
"fraud_Boyer PLC","4339","49","1.13","333726.56","46589.17"
"fraud_Terry-Huel","2474","47","1.90","227928.61","46379.01"
"fraud_Lemke-Gutmann","2424","46","1.90","241015.64","45854.70"
"fraud_Romaguera, Cruickshank and Greenholt","2378","47","1.98","210578.96","45120.88"
"fraud_Heathcote, Yost and Kertzmann","2394","42","1.75","190120.13","43272.77"
"fraud_Heathcote LLC","2398","43","1.79","217757.46","42802.73"
