"hour_of_day","avg_fraud_amount","avg_non_fraud_amount","overall_avg_amount"
"20","700.69","62.51","63.19"
"14","690.97","62.16","62.85"
"21","685.64","62.58","63.24"
"22","648.79","63.15","77.89"
"18","646.83","62.56","63.18"
"23","641.11","62.29","76.60"
"12","633.23","62.06","62.58"
"17","628.80","62.38","62.94"
"13","608.09","62.49","63.02"
"15","600.11","62.68","63.25"
"19","599.00","61.81","62.35"
"16","591.25","63.04","63.60"
"10","398.29","75.10","75.37"
"7","368.93","75.63","75.96"
"2","365.55","76.45","80.15"
"1","363.79","75.62","79.45"
"3","356.86","75.57","79.20"
"0","340.64","74.81","78.40"
"6","332.44","75.75","75.96"
"11","323.80","76.33","76.55"
"8","317.91","75.87","76.13"
"9","309.66","75.18","75.42"
"4","308.50","75.62","75.86"
"5","293.26","75.42","75.70"
