"state","total_fraud_amount","total_non_fraud_amount","overall_total_amount"
"NY","360129.50","7023656.75","7383786.25"
"TX","262977.33","7994071.83","8257049.16"
"PA","251328.66","6823317.37","7074646.03"
"CA","173133.37","4951906.90","5125040.27"
"OH","164987.90","4010081.21","4175069.11"
"FL","162393.11","3705606.07","3867999.18"
"MI","149214.71","3924100.64","4073315.35"
"IL","143053.78","3588418.46","3731472.24"
"AL","131458.29","3181322.18","3312780.47"
"MN","127967.60","2596876.53","2724844.13"
"MO","126750.30","3117374.32","3244124.62"
"KY","120009.69","2275079.57","2395089.26"
"VA","116004.37","2423762.31","2539766.68"
"WI","109984.02","2400030.01","2510014.03"
"NE","103612.71","1869449.46","1973062.17"
"IN","94491.10","2278065.70","2372556.80"
"IA","94055.36","2110027.41","2204082.77"
"SC","90561.56","2195989.10","2286550.66"
"AR","87849.46","2845713.32","2933562.78"
"OK","86333.68","2077505.09","2163838.77"
"GA","85013.49","2157348.10","2242361.59"
"OR","84710.61","1503033.26","1587743.87"
"MD","82907.65","1971204.89","2054112.54"
"NC","79618.27","2818638.66","2898256.93"
"NJ","73926.65","1955043.27","2028969.92"
"TN","70106.11","1500772.60","1570878.71"
"MS","69023.36","1669665.69","1738689.05"
"ME","63219.40","1224367.81","1287587.21"
"NM","62151.79","1180165.86","1242317.65"
"KS","60249.81","1909918.57","1970168.38"
"WV","52516.53","2154083.01","2206599.54"
"WY","51750.72","1756209.27","1807959.99"
"WA","50610.70","1658607.90","1709218.60"
"LA","49232.26","1875210.97","1924443.23"
"CO","42885.68","1274187.83","1317073.51"
"ND","40680.84","1173060.06","1213740.90"
"NH","40484.84","727081.30","767566.14"
"MA","38763.16","906368.45","945131.61"
"SD","36864.37","1016332.42","1053196.79"
"MT","34337.77","1019946.69","1054284.46"
"AZ","29800.34","968028.25","997828.59"
"CT","28765.65","587387.29","616152.94"
"AK","25639.79","158839.68","184479.47"
"NV","19478.60","367207.82","386686.42"
"ID","17442.11","510733.64","528175.75"
"VT","16661.18","1141786.95","1158448.13"
"DC","16280.00","318863.12","335143.12"
"UT","14814.18","829467.28","844281.46"
"RI","10994.76","36906.75","47901.51"
"HI","10091.51","173034.50","183126.01"
"DE","4630.44",NULL,"4630.44"
