"category","avg_fraud_amount","avg_non_fraud_amount","overall_avg_amount"
"shopping_net","998.51","72.30","86.74"
"shopping_pos","880.07","73.56","78.45"
"misc_net","798.91","70.87","80.23"
"entertainment","508.25","63.16","64.10"
"grocery_pos","312.16","114.16","116.60"
"home","257.76","57.81","58.10"
"misc_pos","192.47","62.09","62.44"
"food_dining","120.58","50.90","51.01"
"personal_care","26.29","48.12","48.07"
"health_fitness","20.31","54.09","54.04"
"kids_pets","18.48","57.58","57.51"
"gas_transport","12.26","63.68","63.48"
"grocery_net","12.23","53.85","53.74"
"travel","8.91","111.93","111.64"
